
 Writing this to a file: 16.033, 3126mm dia25mm dia
 Writing this to a file: 5.98901lbs, 
 Writing this to a file: 10.044lbs, 25mm dia  Measured: 9.85

 Writing this to a file: 7.43956lbs, 25mm dia Measured: 6.20

 Writing this to a file: 5.48352lbs, 
 Writing this to a file: 5.01099lbs, 
 Writing this to a file: 6.51648lbs, 26mm dia Measured: 4.40

 Writing this to a file: 9.84615lbs, 29mm dia Measured: 7.75

 Writing this to a file: 15.5934lbs, 23mm dia Measured: 10.20

 Writing this to a file: 12.2418lbs, 29mm dia Measured: 7.70-11.20

 Writing this to a file: 7.0989lbs, 27mm dia Measured: 5.40-8.90

 Writing this to a file: 18.3297lbs, 27mm dia

 Writing this to a file: 13.3407lbs, 28mm dia

 Writing this to a file: 13.044lbs, 
 Writing this to a file: 5.25275lbs, 
 Writing this to a file: 5.02198lbs, 
 Writing this to a file: 5.05494lbs, 
 Writing this to a file: 5.07692lbs, 
 Writing this to a file: 6.94506lbs, 
 Writing this to a file: 5.64835lbs,  

1488393309, 5.05952 lbs, 82 mm dia, right config, 
1488478666, 5.07143 lbs, 80 mm dia, left config, 
1488478715, 5.07143 lbs, 81 mm dia, left config, 
1488479461, 5.10714 lbs, 82 mm dia, left config, 
1488479945, 5.07143 lbs, 82 mm dia, left config, 
1488479981, 5.09524 lbs, 82 mm dia, left config, 
1488480303, 5.05952 lbs, 82 mm dia, left config, 
1488480358, 5.08333 lbs, 82 mm dia, left config, 
1488480784, 5.05952 lbs, 82 mm dia, left config, 
1488480860, 5.05952 lbs, 82 mm dia, left config, 
1488481283, 5.07143 lbs, 82 mm dia, left config, 
1488481383, 5.07143 lbs, 82 mm dia, left config, 
1488482705, 5.05952 lbs, 82 mm dia, left config, 
1488482737, 5.08333 lbs, 82 mm dia, left config, 
1488482768, 5.05952 lbs, 82 mm dia, left config, 
1488483157, 5.04762 lbs, 82 mm dia, left config, 
1488483627, 5.09524 lbs, 82 mm dia, left config, 
1488484079, 5.07143 lbs, 82 mm dia, left config, 
1488484469, 5.07143 lbs, 82 mm dia, left config, 
1488485422, 5.09524 lbs, 82 mm dia, left config, 
1488485480, 5.07143 lbs, 82 mm dia, left config, 
1488485888, 5.07143 lbs, 82 mm dia, left config, 
1488485919, 5.09524 lbs, 82 mm dia, left config, 
1488485953, 5.05952 lbs, 82 mm dia, left config, 
